Properties,Terms and conditions,Max Guests,Facilities,Entertainment,Distances To,Location Description,Kids,Price per night,More information,Address,Name,Services,Sport,Number of Bedrooms,Meals,Transport
"
- Large private swimming pool on the premises that you can enjoy anytime you want
- spacious garden with barbecue facilities which you can enjoy with your friends and family
- located just a few minutes from some of the best nightclubs and shopping malls in the tourist hub of Grand Bay
- poolside lounge chairs to help you catch some rays","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: credit card authorization EUR",2,"
- Additional guest (extra cost)(20 EUR/night, 1 pers. max.)
- Air conditioningincluded
- BBQ equipment (extra cost)
- Enclosed living room
- Gazebo
- ParkingFree parking on premise
- Pool towels(contact us)
- Pool umbrella
- Reclining chairs
- Safety box
- Swimming pool
- Wardrobe space
- Wi-Fi Internet","
- International channels
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 56km
- Beach: 1000m","Radiating charm, serenity and tranquility, Villa Clos de Littoral One is the ideal place for couples or families who want to enjoy a sun-kissed holiday on Paradise Island. Because of its proximity to the glorious Mauritian ocean, Villa Clos de Littoral One is also perfect for anyone who wants to soak in some much-needed vitamin-sea. With enough luxury to rival prestigious hotels, this self-catering villa offers you a high level of privacy that you won’t find in hotels. It also has a variety of complimentary and A la Carte services designed to make your stay even more relaxing and comfortable.","
- Baby cot
- Baby high chair
- Babysitter (extra cost)",312,"
- Pers. max.: 2
- Staff:
- Villa size: 110 m²
- Garden: 147 m²","Grand Baie, Grand Baie & North Mauritius, Mauritius",Villa Clos du Littoral One,"
- 24H Security
- Housekeepingon week days
- Security service",,1,"
- Daily breakfast (extra cost)(12 EUR/person)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)
- Car available (extra cost)"
"
- Five comfortable guest bedrooms
- Beautiful view of the ocean from the poolside
- Fully equipped kitchen with island and breakfast stools
- Lush green garden
- Gorgeous infinity pool","
- Check-in: after 03:00 pm
- Check-out: until 12:00 pm",1,"
- Additional guest (extra cost)
- BBQ equipment
- Iron and ironing board
- Pool towels
- Reclining chairs
- Swimming pool
- Wi-Fi Internet","
- International channels
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 34km
- Beach: 1000m","Situated in the south side of Mauritius, facing the sea, is Villa Solaya. This villa is a five bedroom tropical haven with lush green surroundings and breathtaking views of the ocean and horizon. The combination of wooden furnishings and sleek modern interiors will make you feel like you are living in a private resort. With friendly staff and its proximity to the ocean, you, your family, and friends are sure to have a fun and relaxing holiday here at Villa Solaya.","
- Baby cot
- Babysitter (extra cost)",633,"
- Pers. max.: 10
- Staff:
- Villa size: 320 m²
- Garden: 3000 m²","Bel Ombre, South Mauritius, Mauritius",Villa Solaya,"
- Housekeeping
- Massage (extra cost)
- Personal guest assistant (extra cost)
- Security service
- Welcome drinks","
- Tennis court (extra cost)",5,"
- Chef (extra cost)
- Coffee maker
- Daily breakfast (extra cost)at cost of groceries
- Dinner (extra cost)
- Fully equipped kitchen
- Lunch (extra cost)","
- Airport transfer (extra cost)
- Boat rental (extra cost)"
"
- Luxurious settings
- Security
- Housekeeping services
- Parking
- Private tropical garden
- Private swimming pool","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: credit card authorization EUR",6,"
- Additional guest (extra cost)(20 EUR/night, 1 pers. max.)
- Air conditioningincluded
- Back-up generator
- BBQ equipment
- Enclosed living room
- Fire extinguisher
- Hairdryer
- Household supplies
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels(contact us)
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Wi-Fi Internet","
- International channels
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 58km
- Beach: 1.5km","Featuring just about anything you might need to enjoy a holiday of complete calm and serenity, Oasis Villa 3 is the ultimate getaway for large groups or families visiting the island of Mauritius.  As a guest of the villa, you’re even given free access to a private and highly exclusive beach known as La Plage, where you can bask in the gloriously warms rays of the tropical sun. Found in a private and secure area, the villa additionally boasts highly comfortable accommodation.","
- Baby cot
- Baby high chair
- Babysitter (extra cost)",465,"
- Pers. max.: 6
- Staff: 2
- Villa size: 283 m²
- Garden: 302 m²","Grand Baie, Grand Baie & North Mauritius, Mauritius",Oasis Villa 3,"
- 24H Security
- Gardener
- Housekeepingon week days
- Massage (extra cost)
- Personal guest assistant
- Pool maintenance
- Security service
- Welcome drinks",,3,"
- Coffee maker
- Daily breakfast (extra cost)(12 EUR/person)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)
- Bicycles available (extra cost)
- Boat rental (extra cost)
- Car available (extra cost)
- Driver (extra cost)
- Scooter available (extra cost)"
"
- Plenty of space to accommodate larger families
- Enclosed courtyard with ample room to relax and enjoy the sun
- Spectacular view of the glistening lagoon
- Well-appointed interior where you can gather with friends and relatives
- Numerous services to ensure your comforts
- Private swimming pool for relaxing or keeping up with your exercise routine
- Thatched pavilions for dining under the stars","
- Check-in: after 03:00 pm
- Check-out: until 12:00 pm",6,"
- Additional guest (extra cost)(contact us)
- Back-up generator
- Bathrobe
- CCTV security
- Electricityincluded
- Fire extinguisher
- Gazebo
- Hairdryer
- Iron and ironing board (extra cost)
- Jacuzzi
- Mosquito nets (extra cost)
- Outdoor bar (extra cost)
- Pool towels
- Pool umbrella
- Printer (extra cost)
- Safety box
- Sauna
- Spa room (extra cost)
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Wheelchair access
- Wi-Fi Internet","
- Billiard table
- International channels
- Stereo
- Streaming service
- Table tennis table
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 30km","With delightful views of the turquoise lagoon and endless stretch of white sand beach, Shanti Villa places you directly by the water’s edge. Dip your toes in the warm water whenever the mood strikes, or lounge on the grass while soaking up the glorious tropical sun. Best of all, Shanti Villa provides ample room to accommodate larger families. As such, this villa is perfect for group holidays, weddings or business events in Mauritius.","
- Baby cot
- Baby high chair
- Baby monitor (extra cost)
- Babysitter (extra cost)
- Pool fence (extra cost)
- Pool toys",2850,"
- Pers. max.: 6
- Staff:
- Villa size: 860 m²
- Garden: 140 m²","Saint Felix, South Mauritius, Mauritius",Shanti Villa,"
- 24H Security
- Gardener
- Housekeepingservice
- Laundry (extra cost)
- Massage (extra cost)
- Pool maintenance
- Welcome drinks","
- Kayak available
- Tennis court",3,"
- Coffee maker
- Daily breakfastincluded
- Dinner (extra cost)(based on menu)
- Floating breakfast (extra cost)(contact us)
- Lunch (extra cost)(based on menu)
- Microwave
- Oven
- Restaurant (extra cost)
- Room service (extra cost)","
- Airport transfer (extra cost)(contact us)
- Bicycles available (extra cost)
- Boat rental (extra cost)
- Car available (extra cost)
- Driver (extra cost)"
"
- Luxurious settings
- Continental breakfast
- Exclusive access to a private beach
- Concierge Service
- Wide swimming pool
- Tropical garden","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: credit card authorization EUR",4,"
- Additional guest (extra cost)(20 EUR/night, 1 pers. max.)
- Air conditioningincluded
- Back-up generator
- BBQ equipment
- Enclosed living room
- Fire extinguisher
- Hairdryer
- Household supplies
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels(contact us)
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Wi-Fi Internet","
- International channels
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 58km
- Beach: 1.5km","Featuring unparalleled elegance and charm, Oasis Villa 2 is the perfect haven for anyone seeking escapism from the hustle and bustle of everyday life. Indeed, this villa has been lovingly set up to accommodate couples or families who want to enjoy their own space and independence after a full day of exploring the island of Mauritius. Self-catering and offering a wide range of services to ensure your comfort, Oasis Villa 2 radiates luxury and tranquility.","
- Baby cot
- Baby high chair
- Babysitter (extra cost)",351,"
- Pers. max.: 4
- Staff: 2
- Villa size: 169 m²
- Garden: 253 m²","Grand Baie, Grand Baie & North Mauritius, Mauritius",Oasis Villa 2,"
- 24H Security
- Gardener
- Housekeepingon week days
- Massage (extra cost)
- Personal guest assistant
- Pool maintenance
- Security service",,2,"
- Coffee maker
- Daily breakfast (extra cost)(10 EUR/person)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)
- Bicycles available (extra cost)
- Boat rental (extra cost)
- Car available (extra cost)
- Driver (extra cost)
- Scooter available (extra cost)"
"
- 9 bedrooms to comfortably accommodate all the guests
- Two generously-sized swimming pools
- Beachfront setting with unblemished ocean views
- Services of a dedicated villa host
- Thoughtful services and amenities to ensure a comfortable stay
- Family-friendly features for both kids and adults
- Proximity to some of the best attractions in Mauritius","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 2000 EUR",1,"
- Air conditioningincluded
- Enclosed living room
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels(contact us)
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 43km
- Beach: 10m","Nestled amidst the rugged landscape of Poste Lafayette, Villa de l’Ocean is well-suited to larger groups of friends and relatives. Indeed, the property’s generously-sized quarters can very easily accommodate up to eighteen guests. As such, this villa would also be ideal for special events such as destination weddings, wellness retreats, or even corporate events.","
- Babysitter (extra cost)",1150,"
- Pers. max.: 12
- Staff:
- Villa size: 800 m²
- Garden: 2400 m²","Poste Lafayette, East Mauritius, Mauritius",Villa de l'Ocean,"
- Housekeepingdaily
- Laundry
- Villa manager",,6,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Microwave
- Oven
- Toaster","
- Airport transfer (extra cost)(contact us)"
"
- Ample space to comfortably sleep larger groups
- well-equipped for longer stays and quick getaways
- proximity to the only airport on the island
- located in an upscale complex
- spacious and well-furnished terrace, perfect for al-fresco meals
- a variety of different services to ensure a more relaxing stay
- within driving distance to some of the best attractions on the island","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 1 night(s)",8,"
- Additional guest (extra cost)(contact us)
- Air conditioning(contact us)
- Enclosed living room
- Hairdryer
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels(contact us)
- Safety box
- Shared swimming pool
- Terrace
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- Streaming service
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 52km","With plenty of lush outdoor spaces where you can soak up the sun or simply breathe in that glorious tropical air, Penthouse H70 St Antoine lies in a secluded bay. Ideal for groups of up to eight guests, this penthouse sits on a private residence that spans across 17 acres. When you’re not exploring the many attractions in the vicinity, rest assured that there’s always plenty to keep you entertained right on the property.","
- Baby cot
- Babysitter",416,"
- Pers. max.: 8
- Staff:","Grand Baie & North Mauritius, Mauritius",Penthouse H70 St Antoine,"
- 24H Security
- Gardener
- Housekeeping (extra cost)service
- Laundry (extra cost)
- Pool maintenance
- Security service
- Welcome drinks (extra cost)",,4,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Microwave
- Oven
- Toaster","
- Airport transferincluded: 1 car(s) maximum, both ways
- Car available (extra cost)
- Driver (extra cost)"
"
- Comfortably sleeps six guests
- Well outfitted fully equipped kitchen
- Perched right above the glistening Indian Ocean
- Balcony overlooking the ocean","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 500 EUR",6,"
- Air conditioning(contact us)
- BBQ equipment
- Enclosed living room
- Hairdryer
- Iron and ironing board
- ParkingFree parking on premise
- Terrace
- Toiletries
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 6km
- Beach: 20m","A picturesque haven of well-being nestled just steps from one of the most gorgeous public beaches in Mauritius, Blue Nest Penthouse comfortably sleeps six guests in its lavish quarters. Offering unobstructed vistas of the sparkly blue lagoon and silky soft shores, this penthouse is tucked away in a quiet area. Rest assured that you’ll still be within driving distance from some of the best amenities in the village.",,599,"
- Pers. max.: 6
- Staff:","Pointe d'Esny, South Mauritius, Mauritius",Blue Nest Penthouse,"
- 24H Security
- Housekeepingonce every 3 days
- Massage (extra cost)",,3,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Microwave
- Oven
- Toaster",
"
- Access to a private beach club
- World-class service
- Air-conditioned bedrooms
- Two guest bedrooms
- En-suite bathroom
- 24/7 Security
- Private parking
- Private swimming pool
- Tropical garden
- Barbecue Facilities
- Outdoors furniture","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: credit card authorization EUR",6,"
- Additional guest (extra cost)(20 EUR/night, 1 pers. max.)
- Air conditioning(contact us)
- BBQ equipment (extra cost)
- Enclosed living room
- Gazebo
- ParkingFree parking on premise
- Pool towels(contact us)
- Pool umbrella
- Reclining chairs
- Safety box
- Swimming pool
- Wardrobe space
- Wi-Fi Internet","
- International channels
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 56km
- Beach: 1000m","Radiating peacefulness and relaxation, Villa Clos du Littoral Superior Three is ideal for a tranquil holiday with your significant other, friends or family. With plenty of green space and a massive swimming pool, this villa has been built to reflect the tranquil atmosphere of five-star resorts, with none of the staff intrusions. Designed to comfortably fit six guests, this villa also offers an extended range of services to help make your stay even more enjoyable. The complex’s staff also remains at your disposal during the entire duration of your holiday.","
- Baby cot
- Baby high chair
- Babysitter (extra cost)",455,"
- Pers. max.: 6
- Staff:
- Villa size: 223 m²
- Garden: 282 m²","Grand Baie, Grand Baie & North Mauritius, Mauritius",Villa Clos du Littoral Superior Three,"
- 24H Security
- Housekeepingon week days
- Security service",,3,"
- Daily breakfast (extra cost)(12 EUR/person)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)
- Car available (extra cost)"
"
- Close to the vibrant capital of Port Louis
- Access to a shared infinity pool
- Just a few steps from a beautiful beach
- Spacious balcony for soaking up the weather and views
- Two air-conditioned bedrooms so you can relax in all comfort
- spacious tropical garden for sunbathing or relaxing
- Fully-equipped kitchen
- Various services including 24/24 security","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 500 EUR",4,"
- Air conditioning(contact us)
- BBQ equipment
- Enclosed living room
- Hairdryer
- Household supplies
- Iron and ironing board
- ParkingFree parking on premise
- Shared swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- International channels
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 56km
- Beach: 50m","Nestled in a postcard-worthy coastal village, O’Biches Deluxe Apartment offers luxurious accommodation spanning across a surface area of 108m². Ideal for groups of up to four persons, this apartment promises tranquil intimacy that blends harmoniously with contemporary accents. Thanks to its prime beachfront location, you will be able to cool off on a stretch of white silky beach whenever the mood strikes. Best of all, this exclusive apartment provides a host of amenities to ensure an unforgettable holiday in Mauritius.","
- Baby cot
- Baby high chair",321,"
- Pers. max.: 4
- Staff:
- Villa size: 96 m²","Trou aux Biches, Grand Baie & North Mauritius, Mauritius",O'Biches Deluxe Apartment,"
- 24H Security
- Housekeepingonce every 3 days
- Massage (extra cost)",,2,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Microwave
- Oven
- Toaster","
- Airport transfer (extra cost)(contact us)"
