Included in rates,Distance from,Number of bathrooms,For your comfort and convenience,Not included in rates,Number of bedrooms,Address,Name,"Entertainment, well-being & sports",Dining,Sustainable development and environmental impact,Resort services and entertainment,Staff,Nearby,Description,Kitchen & Appliances,Max guests,Reservation conditions,Compulsory extra costs,"Equipment, facilities, events",Children,Max price,Outside,Min price
"
- Bed and household linens
- Electricity, water, gas
- Garden maintenance
- Pool maintenance
- Weekly change of linens &amp; towels (2 weeks stay min.)
- Weekly house cleaning (2 weeks stay)","
- Golf (25 KM)
- Ibiza (10 KM)
- Supermarket (5 KM)",2,"
- Air conditioning
- Coffee table
- Dining room with dining table
- Fireplace in living room
- Hammocks
- Living room
- Private parking space
- Sofa(s)","
- Baby cot : starting from 10.00 EUR Per Day
- Cancellation insurance
- Chef / Cook
- Child care, Baby sitting
- Dry cleaning service
- Extra hours of housekeeping
- High chair : 5.00 EUR Per Day
- Late check-in : 100.00 EUR
- Late check-in from 8pm : starting from 100.00 EUR Per Stay
- Laundry service
- Tourism development tax",3,"Ibiza North, Ibiza, Spain, Europe",Dalt Fruitera,"
- Flatscreen TV
- Internet access (wifi)
- iPod dock
- Outdoor private swimming pool
- Satellite or cable or Internet TV",,,,,,"Beautiful traditional Ibiza house near Santa Gertrudis, 3 bedrooms and 2 bathrooms, private swimming pool, barbecue, beautiful mountain views, only 10 km from Ibiza city","
- Coffee maker
- Cooker hood
- Dish washer
- Freezer
- Fully equipped kitchen
- Microwave
- Oven
- Refrigerator",6,,,"
- Safe deposit box","
- Children welcome
- Extra bed for child available on request",857,"
- Barbecue
- Garden
- Lounge area on the terrace
- Outdoor dining table
- Pool lounge chairs
- Terrace(s)",339
"
- Bed and household linens
- Daily housekeeping (except Sundays and holidays)
- Electricity, water, gas
- Internet WIFI","
- Airport (135 KM)
- Beach (1.5 KM)
- Closest train station (41 KM)
- Downtown (2 KM)
- Golf (27 KM)
- Supermarket (1.2 KM)
- Restaurants / Shops (1.2 KM)
- Restaurants (500 M)",5,"
- Air conditioning in bedrooms only
- Fireplace
- Hair dryer
- Living room
- Private parking space","
- Bike rental
- Cancellation insurance
- Chef
- Cot + High Chair",4,"Praia do Pego, Comporta, Portugal, Europe",Villa Flaminie,"
- Internet access (wifi)
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- TV",,,,,,"Lovely 4 bedroom villa, located in Comporta, close to Carvalhal beach. Charming location, beautiful views, garden, terraces and pool.","
- Dish washer
- Freezer
- Fully equipped kitchen
- Iron
- Ironing board
- Nespresso coffee machine
- Refrigerator
- Washing machine",8,,"
- House cleaning upon departure - Mandatory : 250.00 EUR Per Stay",,"
- Children welcome",2500,"
- Barbecue
- Garden
- Lounge area on the terrace
- Lounge chairs on the terrace
- Parking
- Pool lounge chairs
- Terrace(s)",1700
"
- Bed and household linens
- Electricity, water, gas","
- Golf (10 Minutes Walk)
- Restaurants / Shops (5 Minutes by car)",5,"
- Private parking space","
- Air conditioning : starting from 130.00 EUR Per Week
- Baby cot : starting from 85.00 EUR Per Week
- Baby sitting : starting from 20.00 EUR Per Hour
- Cancellation insurance
- Car rental
- Chef / Cook
- Extra house cleaning time : starting from 30.00 EUR Per Hour
- Pool heating
- Tourism development tax
- Villa pre-stocking : starting from 80.00 EUR",5,"Quinta do Lago, Algarve, Portugal, Europe",Villa Platina,"
- Billiard and games room
- Heated outdoor swimming pool
- Internet access (wifi)
- Ping-Pong table
- TV",,,,,,"Luxury villa with 5 en suite bedrooms in Quinta do Lago with lovely garden, outdoor heated swimming pool, breathtaking view and close to restaurants and shops","
- Combo washer-dryer
- Cooking utensils
- Fully equipped kitchen",10,,,,,944,"
- Barbecue
- Garden
- Outdoor dining areas
- Pool lounge chairs
- Terrace(s)",1111
"
- Bed and household linens
- Breakfast
- Chef/Cook
- Domestic staff &amp; gardener
- Electricity, water, gas
- Garden maintenance
- Gardener
- Internet WIFI
- Pool maintenance
- Security service
- Waiter
- Welcome drink on arrival","
- Seminyak (2.9 KM / 15 Minutes by car)
- Airport Ngurah RaiBali (8.9 KM / 40 Minutes by car)",3,"
- Air conditioning in bedrooms only
- Coffee table
- Sofa(s)","
- Airport transfer
- Cancellation insurance
- Cot + High Chair
- Grocery bills +10% service fee
- Massage
- Spa treatments",3,"South West - Seminyak, Bali, Indonesia, Asia",Villa Red Palms,"
- DVD player
- Flatscreen TV
- Internet access (wifi)
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- Stereo sound system
- TV (all bedrooms)",,,"
- Spa","
- Cook
- Fully staffed villa",,Beautiful villa with 3 suites each with a bathroom and an outdoor shower.,"
- Fully equipped kitchen
- Refrigerator",6,,,"
- Safe deposit box","
- Children welcome",554,"
- Barbecue
- Garden
- Lounge area in the courtyard
- Outside shower
- Pool lounge chairs
- Terrace(s)",373
"
- Bed and household linens
- Change of linen twice / week
- Concierge service
- Daily house cleaning
- Electricity, water, gas
- Premium Package
- Towels changed daily","
- Airport (3.3 KM)
- Mykonos (5 KM)
- Paradise Beach (0.25 KM)
- Port of Mykonos (5 KM)",8,"
- Air conditioning in the living room
- Air fan
- Coffee table
- Dining room
- Living room
- Private parking space
- Small church","
- Cancellation insurance
- Cost of food
- Luxury Package",8,"Mykonos South, Mykonos, Greece, Europe",Villa Sherlock,"
- Internet access (wifi)
- Outdoor private swimming pool
- Plasma TV
- Plunge pool
- Satellite or cable or Internet TV
- Sound system",,,,,"
- Direct sea access
- Walkway to water","Splendid 8-bedroom villa located on the south coast of Mykonos, next to Paradise Beach. Sea view, terraces, garden, swimming pool and small jacuzzi/pool for children.","
- Fully equipped kitchen",16,,,"
- Safe deposit box
- Security system
- Suitable for wedding and events","
- Children welcome",7500,"
- Garden
- Lounge area on the terrace
- Lounge chairs on the terrace
- Outdoor dining areas
- Pool lounge chairs
- Terrace(s)",4286
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at the house
- Toiletries","
- Downtown (200 M)
- Ski school (850 M)
- Ski slope : Biolley (200 M)
- Ski lift (200 M)",4,"
- Dining area
- Dining room
- Fireplace
- Private parking space
- Terrace","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",4,"Saint-Martin-de-Belleville, Northern Alps, France, Europe",Chalet Chardon,"
- Cinema room
- Hammam
- Nordic bath
- Shoe warmer
- SONOS sound system","
- This house is self catering",,,,"
- Slopes less than 200 m away","Beautiful 4 bedroom chalet, located only a hundred metres from the centre of Saint-Martin de Belleville and the first ski start. Ideal location, balconies, outdoor Nordic bathing area, TV lounge and hammam.","
- Combined microwave and regular ovens
- Cooker hood
- Dish washer
- Dryer
- Freezer
- Fully equipped kitchen
- Iron
- Ironing board
- Nespresso coffee machine
- Open-style kitchen
- Oven
- Refrigerator
- Toaster
- Vacuum cleaner
- Vitro-ceramic burners
- Washing machine",8,,,,,748,"
- Balcony",
"
- Bed and household linens
- Electricity, water, gas
- Housekeeping 2 hours per day
- Internet WIFI","
- Airport (135 KM)
- Beach (1.5 KM)
- Closest train station (41 KM)
- Downtown (2 KM)
- Golf (27 KM)
- Supermarket (1.2 KM)
- Restaurants / Shops (1.2 KM)
- Restaurants (500 M)",4,"
- Fireplace
- Hair dryer
- Living room","
- Baby cot : starting from 8.00 EUR Per Day
- Bike rental : starting from 20.00 EUR Per Guest/day
- Breakfast : starting from 35.00 EUR Per Guest
- Cancellation insurance
- Dinner : starting from 55.00 EUR Per Guest
- Extra bed : starting from 50.00 EUR Per Day
- Extra charges housekeeping
- High chair : starting from 6.00 EUR Per Day
- Late check-in from 8pm : starting from 30.00 EUR",3,"Praia do Pego, Comporta, Portugal, Europe",Villa Sativa,"
- Internet access (wifi)
- Satellite or cable or Internet TV
- Swimming pool
- TV",,,,,,"Charming 3 bedroom located only few minutes away from Carvalhal beach. Beautiful view on the countryside, terraces and swimming pool.","
- Coffee maker
- Dish washer
- Fully equipped kitchen
- Iron
- Ironing board
- Kettle
- Toaster
- Washing machine",6,,"
- House cleaning upon departure : 250.00 EUR",,"
- Children welcome",900,"
- Lounge area on the terrace
- Outdoor dining areas
- Parking
- Pool lounge chairs
- Terrace(s)",1100
"
- Beach towels
- Bed and household linens
- Concierge service
- Electricity, water, gas
- Housekeeping 6 hours per day
- Internet WIFI
- Pool heating (April to October)
- Preparation of the dinner (excluding cost of ingredients)","
- Airport (55 Minutes by car)
- Closest train station (8 Minutes by car)
- Marseille (30 Minutes by car)",11,"
- Air conditioning in bedrooms only
- Central heating
- Dining room
- Living room
- Outdoor hot tub","
- Cancellation insurance
- Chef / Cook
- Cost of food
- Extra person : starting from 100.00 EUR Per Guest/night
- Weddings and events planning",12,"Cassis, French Riviera, France, Europe",Villa Olympe,"
- Cinema room
- Fitness room
- Heated outdoor swimming pool
- Internet access (broadband, cable)
- Internet access (wifi)
- Music speaker
- Ping-Pong table
- TV",,,,"
- Chef
- Maid",,"Elegant villa for 22 people in Cassis with sea view, 12 bedrooms, heated swimming pool, jacuzzi and large terrace, 60 ha of private grounds in outstanding nature","
- Combo fridge - freezer
- Cooking utensils
- Dish washer
- Fully equipped kitchen
- Ice maker
- Iron
- Microwave
- Oven
- Toaster
- Vacuum cleaner
- Washing machine",20 (24 max.),,"
- House cleaning upon departure : 850.00 EUR Per Stay
- Tourism development tax : 4.46 EUR Per Adult/day","
- Suitable for wedding and events
- Wine cellar","
- Pool safety system",9490,"
- Barbecue
- Garden
- Outdoor dining areas
- Parking
- Pool lounge chairs
- Terrace(s)",10000
"
- Beds made on arrival
- Housecleaning upon departure
- Household linen and bath linen
- Housekeeping and household linens
- Meet and greet at local office
- Slippers
- Toiletries","
- Ski school (50 M)
- Skilift : Le Bois de l'Ours et Marmotte (350 M)",2,"
- Convertible sofa
- Dining area
- Indoor hot tub
- Private parking space
- Relaxation area
- Ski locker
- Terrace
- TV lounge","
- Cancellation insurance
- Concierge service : Pass Plus : starting from 300.00 EUR
- Concierge service : Serenity Pass : starting from 600.00 EUR
- Concierge service : Snow Pass : starting from 90.00 EUR",3,"Les Arcs 1950, Northern Alps, France, Europe",Appartement Prince des Cimes 4025,"
- Fitness room
- Garden lounge furniture
- Hammam
- Internet access (wifi)
- Outdoor swimming pool
- Satellite or cable or Internet TV
- Sauna","
- This house is self catering",,,,"
- Close to ski schools
- Ski in - Ski out","Beautiful apartment in the heart of the Arc 1950 village, a pedestrian resort at the foot of the slopes, with 3 bedrooms, ski locker, sauna, indoor jacuzzi, gym, swimming pool and parking space.","
- Coffee maker
- Cooker hood
- Dish washer
- Fully equipped kitchen
- Iron
- Ironing board
- Kettle
- Microwave
- Nespresso coffee machine
- Open-style kitchen
- Oven
- Refrigerator
- Toaster
- Vacuum cleaner
- Vitro-ceramic burners",6,,,"
- Elevator",,366,,
"
- Bed and household linens
- Change of towels twice weekly
- Daily housekeeping (except Sundays and holidays)
- Electricity, water, gas
- Garden maintenance
- Internet WIFI
- Pool maintenance
- Sheets and towels changed once a week","
- Beach (5 Minutes by car)
- Ibiza (20 KM)
- San Josep (5 KM)
- Supermarket (2 KM)",5,"
- Air conditioning
- Covered terrace - Veranda
- Dining room
- Fireplace in living room
- Living room
- Private parking space","
- Baby cot : starting from 10.00 EUR Per Day
- Cancellation insurance
- Chef / Cook
- Child care, Baby sitting
- Driver
- High chair : starting from 5.00 EUR Per Day
- House cleaning upon departure (minimum stay of 2 weeks.)
- Late check-in : starting from 60.00 EUR
- Late check-in from 8pm : starting from 100.00 EUR Per Stay",6,"Ibiza West, Ibiza, Spain, Europe",Villa Ponent,"
- Cinema room
- DVD player
- Internet access (wifi)
- Outdoor private swimming pool
- Outdoor swimming pool
- Satellite or cable or Internet TV
- TV",,,,,"
- Direct sea access","Nice property situated in Cala Molí area with 6 bedrooms and 5 bathrooms, private swimming pool, garden and terraces, great views over the beach, the sea and the sunset","
- Fully equipped kitchen",12,,,,"
- Baby cot
- Children welcome",3928,"
- Barbecue
- Garden
- Outdoor dining table
- Parking
- Pool lounge chairs
- Terrace(s)",
